City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Mount Isa,-20.7333,139.5,82.4,24,0,9.22,AU,2021-01-07 18:30:05
119,Santander,43.4647,-3.8044,43.0,75,75,4.61,ES,2021-01-07 18:33:06
120,Grand Gaube,-20.0064,57.6608,77.0,73,88,8.99,MU,2021-01-07 18:33:07
121,Airai,-8.9266,125.4092,61.86,100,100,1.54,TL,2021-01-07 18:33:07
122,Abu Dhabi,24.4667,54.3667,66.2,48,0,6.91,AE,2021-01-07 18:33:07
123,Klaksvik,62.2266,-6.589,30.2,64,75,20.71,FO,2021-01-07 18:33:07
124,Ugoofaaru,5.6667,73.0,81.97,72,0,5.32,MV,2021-01-07 18:33:08
125,Cidreira,-30.1811,-50.2056,80.06,73,94,8.01,BR,2021-01-07 18:28:45
126,Dixon,38.4455,-121.8233,55.0,71,1,11.5,US,2021-01-07 18:29:04
127,Kirakira,-10.4544,161.9205,81.27,72,100,1.86,SB,2021-01-07 18:33:08
128,Tuatapere,-46.1333,167.6833,52.0,80,16,1.99,NZ,2021-01-07 18:33:08
129,Hervey Bay,-25.2986,152.8535,73.99,89,100,5.99,AU,2021-01-07 18:33:09
130,Mungwi,-10.1732,31.3694,67.12,85,32,1.9,ZM,2021-01-07 18:33:09
131,Bowen,-20.0167,148.2333,75.2,94,90,3.44,AU,2021-01-07 18:33:09
132,Mayo,38.8876,-76.5119,46.0,52,1,8.05,US,2021-01-07 18:33:09
133,Niceville,30.5169,-86.4822,64.99,88,75,14.97,US,2021-01-07 18:33:09
134,Hermanus,-34.4187,19.2345,71.01,69,59,1.01,ZA,2021-01-07 18:33:10
135,Petropavlovskoye,52.0712,84.107,-15.41,82,78,0.4,RU,2021-01-07 18:33:10
136,Mosquera,4.7059,-74.2302,64.4,45,75,16.11,CO,2021-01-07 18:33:00
137,Tilichiki,60.4667,166.1,-14.51,88,1,9.08,RU,2021-01-07 18:33:10
138,Trinidad,-14.8333,-64.9,84.2,74,40,3.44,BO,2021-01-07 18:33:10
139,Labuhan,-6.8844,112.2051,77.32,86,100,7.0,ID,2021-01-07 18:33:11
140,Olafsvik,64.8945,-23.7142,34.99,92,100,20.29,IS,2021-01-07 18:33:11
141,Pisco,-13.7,-76.2167,77.0,69,0,9.22,PE,2021-01-07 18:33:11
142,Saint-Philippe,-21.3585,55.7679,78.8,69,90,19.57,RE,2021-01-07 18:28:38
143,Cap-Aux-Meules,47.3821,-61.8597,33.8,100,100,27.63,CA,2021-01-07 18:29:19
144,Chokurdakh,70.6333,147.9167,-13.92,90,97,8.68,RU,2021-01-07 18:33:12
145,Vardo,70.3705,31.1107,17.6,93,20,31.07,NO,2021-01-07 18:33:12
146,Kodiak,57.79,-152.4072,37.4,93,90,9.22,US,2021-01-07 18:33:12
147,Tuktoyaktuk,69.4541,-133.0374,-13.0,77,20,12.66,CA,2021-01-07 18:33:12
148,Mnogovershinnyy,53.9353,139.9242,-29.61,82,55,4.32,RU,2021-01-07 18:33:13
149,Kenmare,51.8833,-9.5833,33.84,91,14,4.23,IE,2021-01-07 18:33:13
150,Baykit,61.67,96.37,-13.97,83,75,5.3,RU,2021-01-07 18:30:44
