City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Atar,MR,59.41,scattered clouds,20.5169,-13.0499,Oumou Elghoura
601,Dhidhdhoo,MV,80.73,moderate rain,6.8833,73.1,Dhidhoo beach
602,Miandrivazo,MG,79.56,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
604,Arlit,NE,78.71,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
605,San Jeronimo,PE,60.94,moderate rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
606,Alikalia,SL,80.51,overcast clouds,9.1667,-11.4,
607,Kampot,KH,77.0,few clouds,10.6167,104.1833,Two Moons Hotel
608,Yeppoon,AU,73.4,overcast clouds,-23.1333,150.7333,Villa Mar Colina
609,Mariana,BR,76.84,light rain,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
610,Parati,BR,78.8,moderate rain,-23.2178,-44.7131,Che Lagarto Paraty
611,Vanimo,PG,77.41,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
613,Puerto Escondido,MX,82.4,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
614,Panguna,PG,70.02,overcast clouds,-6.3164,155.4848,
615,Abha,SA,53.6,light rain,18.2164,42.5053,Abha Hotel
620,Clearwater,US,57.0,overcast clouds,27.9659,-82.8001,Shephard's Beach Resort
624,Gizo,SB,83.7,moderate rain,-8.103,156.8419,Imagination Island
625,Kaoma,ZM,68.58,light rain,-14.7833,24.8,KAOMA AIRPORT
629,Aguie,NE,74.57,clear sky,13.505999999999998,7.7786,
630,Akyab,MM,70.21,few clouds,20.15,92.9,Hotel Memory
632,Nelson Bay,AU,64.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
633,Doba,TD,77.77,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
634,Cabanas,CU,73.4,scattered clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
636,Nishihara,JP,59.0,scattered clouds,26.1842,127.7558,Minshuku Agaihama
637,Catacamas,HN,78.8,scattered clouds,14.8,-85.9,Villa Genesis
640,Ekpoma,NG,79.21,clear sky,6.7421,6.138999999999999,His Banna Hotel
643,Bulawayo,ZW,68.54,scattered clouds,-20.15,28.5833,4 On Housman Backpackers
644,Poum,NC,82.06,light rain,-20.2333,164.0167,Gîte kajeon
647,Flores,GT,75.36,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
648,Mont-Dore,NC,81.0,moderate rain,-22.2833,166.5833,GIte
650,Whithorn,JM,82.0,few clouds,18.2604,-78.0378,Sunset Heal
651,Gladstone,AU,73.4,scattered clouds,-23.85,151.25,Highpoint International
652,Gat,IL,61.0,clear sky,31.61,34.7642,OlusHome
654,Sonoita,MX,62.01,clear sky,31.85,-112.8333,Hotel Nora
655,Pattani,TH,73.4,scattered clouds,6.75,100.4167,Tobias Kleeberg
657,Lardos,GR,64.0,few clouds,36.0942,28.0157,Lindos Princess Beach Hotel
659,Namibe,AO,71.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
660,Srivardhan,IN,77.81,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
662,Kolondieba,ML,82.42,clear sky,11.0882,-6.8926,Hotel Dakan
665,Boa Vista,BR,77.0,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
667,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
669,Telimele,GN,77.97,clear sky,10.9167,-13.3333,
670,Ratnagiri,IN,78.96,clear sky,16.9833,73.3,Hotel Landmark
673,Labuhan,ID,77.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
674,Gualaquiza,EC,74.39,light rain,-3.4,-78.55,Hotel Merceditas
676,Martapura,ID,75.2,moderate rain,-3.4167,114.85,Montana Hotel Syariah
677,Abnub,EG,60.8,clear sky,27.2696,31.1511,Romany Adly Gad
684,Khudumelapye,BW,78.91,clear sky,-23.8833,24.75,
686,Arona,ES,63.0,few clouds,28.0996,-16.680999999999997,Paradise Court
688,Impfondo,CG,78.55,scattered clouds,1.6381,18.0667,Préfecture de la Likouala
691,Tambura,SS,71.98,clear sky,5.6,27.4667,Rikito Lodge
692,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Hotel San Juan
